Country;Code;Life expectancy at birth;GDP per capita
Australia;AUS;82,5;47564
Austria;AUT;81,3;49419
Belgium;BEL;81,1;45608
Brazil;BRA;74,7;15869
Canada;CAN;81,7;44205
Chile;CHL;79,1;23095
China;CHN;76,0;14373
Colombia;COL;74,2;13782
Costa Rica;CRI;79,6;16413
Czech Republic;CZE;78,7;33743
Denmark;DNK;80,8;48981
Estonia;EST;77,7;28947
Finland;FIN;81,6;42275
France;FRA;82,4;40931
Germany;DEU;80,7;47999
Greece;GRC;81,1;26358
Hungary;HUN;75,7;26436
Iceland;ISL;82,5;47690
India;IND;68,3;6137
Indonesia;IDN;69,1;11126
Ireland;IRL;81,5;67974
Israel;ISR;82,1;36546
Italy;ITA;82,6;37255
Japan;JPN;83,9;40701
Korea;KOR;82,1;34300
Latvia;LVA;74,6;24899
Lithuania;LTU;74,5;28913
Luxembourg;LUX;82,4;104207
Mexico;MEX;75,0;17981
Netherlands;NLD;81,6;49547
New Zealand;NZL;81,7;37949
Norway;NOR;82,4;62053
Poland;POL;77,6;26856
Portugal;PRT;81,2;29688
Russian Fed.;RUS;71,3;24092
Slovak Republic;SVK;76,7;29907
Slovenia;SVN;80,9;31965
South Africa;ZAF;57,4;13290
Spain;ESP;83,0;34696
Sweden;SWE;82,3;47823
Switzerland;CHE;83,0;62500
Turkey;TUR;78,0;24071
United Kingdom;GBR;81,0;41767
United States;USA;78,8;56207
